u,g_gain,eps,force_per_stream_n,k_control,k_fp,k_total,k_eff,omega_n_rad_s,period_s,zeta,bias_force_n,static_offset_m,packet_rate_hz,packet_period_s
10.0,0.02,0.0,6.5249999999999995,1.5,0.0,1.5,1.5,0.03872983346207417,162.23114703894447,0.10327955589886445,0.0,0.0,150.0,0.006666666666666667
10.0,0.02,0.0001,6.5249999999999995,1.5,0.0,1.5,1.5,0.03872983346207417,162.23114703894447,0.10327955589886445,0.001305,0.00087,150.0,0.006666666666666667
10.0,0.02,0.001,6.5249999999999995,1.5,0.0,1.5,1.5,0.03872983346207417,162.23114703894447,0.10327955589886445,0.013049999999999999,0.0087,150.0,0.006666666666666667
10.0,0.05,0.0,6.5249999999999995,3.75,0.0,3.75,3.75,0.06123724356957945,102.60398641294913,0.06531972647421808,0.0,0.0,150.0,0.006666666666666667
10.0,0.05,0.0001,6.5249999999999995,3.75,0.0,3.75,3.75,0.06123724356957945,102.60398641294913,0.06531972647421808,0.001305,0.000348,150.0,0.006666666666666667
10.0,0.05,0.001,6.5249999999999995,3.75,0.0,3.75,3.75,0.06123724356957945,102.60398641294913,0.06531972647421808,0.013049999999999999,0.0034799999999999996,150.0,0.006666666666666667
10.0,0.1,0.0,6.5249999999999995,7.5,0.0,7.5,7.5,0.08660254037844387,72.55197456936871,0.046188021535170064,0.0,0.0,150.0,0.006666666666666667
10.0,0.1,0.0001,6.5249999999999995,7.5,0.0,7.5,7.5,0.08660254037844387,72.55197456936871,0.046188021535170064,0.001305,0.000174,150.0,0.006666666666666667
10.0,0.1,0.001,6.5249999999999995,7.5,0.0,7.5,7.5,0.08660254037844387,72.55197456936871,0.046188021535170064,0.013049999999999999,0.0017399999999999998,150.0,0.006666666666666667
10.0,0.2,0.0,6.5249999999999995,15.0,0.0,15.0,15.0,0.1224744871391589,51.30199320647456,0.03265986323710904,0.0,0.0,150.0,0.006666666666666667
10.0,0.2,0.0001,6.5249999999999995,15.0,0.0,15.0,15.0,0.1224744871391589,51.30199320647456,0.03265986323710904,0.001305,8.7e-05,150.0,0.006666666666666667
10.0,0.2,0.001,6.5249999999999995,15.0,0.0,15.0,15.0,0.1224744871391589,51.30199320647456,0.03265986323710904,0.013049999999999999,0.0008699999999999999,150.0,0.006666666666666667
20.0,0.02,0.0,26.099999999999998,6.0,0.0,6.0,6.0,0.07745966692414834,81.11557351947224,0.051639777949432225,0.0,0.0,300.0,0.0033333333333333335
20.0,0.02,0.0001,26.099999999999998,6.0,0.0,6.0,6.0,0.07745966692414834,81.11557351947224,0.051639777949432225,0.00522,0.00087,300.0,0.0033333333333333335
20.0,0.02,0.001,26.099999999999998,6.0,0.0,6.0,6.0,0.07745966692414834,81.11557351947224,0.051639777949432225,0.052199999999999996,0.0087,300.0,0.0033333333333333335
20.0,0.05,0.0,26.099999999999998,15.0,0.0,15.0,15.0,0.1224744871391589,51.30199320647456,0.03265986323710904,0.0,0.0,300.0,0.0033333333333333335
20.0,0.05,0.0001,26.099999999999998,15.0,0.0,15.0,15.0,0.1224744871391589,51.30199320647456,0.03265986323710904,0.00522,0.000348,300.0,0.0033333333333333335
20.0,0.05,0.001,26.099999999999998,15.0,0.0,15.0,15.0,0.1224744871391589,51.30199320647456,0.03265986323710904,0.052199999999999996,0.0034799999999999996,300.0,0.0033333333333333335
20.0,0.1,0.0,26.099999999999998,30.0,0.0,30.0,30.0,0.17320508075688773,36.275987284684355,0.023094010767585032,0.0,0.0,300.0,0.0033333333333333335
20.0,0.1,0.0001,26.099999999999998,30.0,0.0,30.0,30.0,0.17320508075688773,36.275987284684355,0.023094010767585032,0.00522,0.000174,300.0,0.0033333333333333335
20.0,0.1,0.001,26.099999999999998,30.0,0.0,30.0,30.0,0.17320508075688773,36.275987284684355,0.023094010767585032,0.052199999999999996,0.0017399999999999998,300.0,0.0033333333333333335
20.0,0.2,0.0,26.099999999999998,60.0,0.0,60.0,60.0,0.2449489742783178,25.65099660323728,0.01632993161855452,0.0,0.0,300.0,0.0033333333333333335
20.0,0.2,0.0001,26.099999999999998,60.0,0.0,60.0,60.0,0.2449489742783178,25.65099660323728,0.01632993161855452,0.00522,8.7e-05,300.0,0.0033333333333333335
20.0,0.2,0.001,26.099999999999998,60.0,0.0,60.0,60.0,0.2449489742783178,25.65099660323728,0.01632993161855452,0.052199999999999996,0.0008699999999999999,300.0,0.0033333333333333335
40.0,0.02,0.0,104.39999999999999,24.0,0.0,24.0,24.0,0.15491933384829668,40.55778675973612,0.025819888974716113,0.0,0.0,600.0,0.0016666666666666668
40.0,0.02,0.0001,104.39999999999999,24.0,0.0,24.0,24.0,0.15491933384829668,40.55778675973612,0.025819888974716113,0.02088,0.00087,600.0,0.0016666666666666668
40.0,0.02,0.001,104.39999999999999,24.0,0.0,24.0,24.0,0.15491933384829668,40.55778675973612,0.025819888974716113,0.20879999999999999,0.0087,600.0,0.0016666666666666668
40.0,0.05,0.0,104.39999999999999,60.0,0.0,60.0,60.0,0.2449489742783178,25.65099660323728,0.01632993161855452,0.0,0.0,600.0,0.0016666666666666668
40.0,0.05,0.0001,104.39999999999999,60.0,0.0,60.0,60.0,0.2449489742783178,25.65099660323728,0.01632993161855452,0.02088,0.000348,600.0,0.0016666666666666668
40.0,0.05,0.001,104.39999999999999,60.0,0.0,60.0,60.0,0.2449489742783178,25.65099660323728,0.01632993161855452,0.20879999999999999,0.0034799999999999996,600.0,0.0016666666666666668
40.0,0.1,0.0,104.39999999999999,120.0,0.0,120.0,120.0,0.34641016151377546,18.137993642342177,0.011547005383792516,0.0,0.0,600.0,0.0016666666666666668
40.0,0.1,0.0001,104.39999999999999,120.0,0.0,120.0,120.0,0.34641016151377546,18.137993642342177,0.011547005383792516,0.02088,0.000174,600.0,0.0016666666666666668
40.0,0.1,0.001,104.39999999999999,120.0,0.0,120.0,120.0,0.34641016151377546,18.137993642342177,0.011547005383792516,0.20879999999999999,0.0017399999999999998,600.0,0.0016666666666666668
40.0,0.2,0.0,104.39999999999999,240.0,0.0,240.0,240.0,0.4898979485566356,12.82549830161864,0.00816496580927726,0.0,0.0,600.0,0.0016666666666666668
40.0,0.2,0.0001,104.39999999999999,240.0,0.0,240.0,240.0,0.4898979485566356,12.82549830161864,0.00816496580927726,0.02088,8.7e-05,600.0,0.0016666666666666668
40.0,0.2,0.001,104.39999999999999,240.0,0.0,240.0,240.0,0.4898979485566356,12.82549830161864,0.00816496580927726,0.20879999999999999,0.0008699999999999999,600.0,0.0016666666666666668
80.0,0.02,0.0,417.59999999999997,96.0,0.0,96.0,96.0,0.30983866769659335,20.27889337986806,0.012909944487358056,0.0,0.0,1200.0,0.0008333333333333334
80.0,0.02,0.0001,417.59999999999997,96.0,0.0,96.0,96.0,0.30983866769659335,20.27889337986806,0.012909944487358056,0.08352,0.00087,1200.0,0.0008333333333333334
80.0,0.02,0.001,417.59999999999997,96.0,0.0,96.0,96.0,0.30983866769659335,20.27889337986806,0.012909944487358056,0.8351999999999999,0.0087,1200.0,0.0008333333333333334
80.0,0.05,0.0,417.59999999999997,240.0,0.0,240.0,240.0,0.4898979485566356,12.82549830161864,0.00816496580927726,0.0,0.0,1200.0,0.0008333333333333334
80.0,0.05,0.0001,417.59999999999997,240.0,0.0,240.0,240.0,0.4898979485566356,12.82549830161864,0.00816496580927726,0.08352,0.000348,1200.0,0.0008333333333333334
80.0,0.05,0.001,417.59999999999997,240.0,0.0,240.0,240.0,0.4898979485566356,12.82549830161864,0.00816496580927726,0.8351999999999999,0.0034799999999999996,1200.0,0.0008333333333333334
80.0,0.1,0.0,417.59999999999997,480.0,0.0,480.0,480.0,0.6928203230275509,9.068996821171089,0.005773502691896258,0.0,0.0,1200.0,0.0008333333333333334
80.0,0.1,0.0001,417.59999999999997,480.0,0.0,480.0,480.0,0.6928203230275509,9.068996821171089,0.005773502691896258,0.08352,0.000174,1200.0,0.0008333333333333334
80.0,0.1,0.001,417.59999999999997,480.0,0.0,480.0,480.0,0.6928203230275509,9.068996821171089,0.005773502691896258,0.8351999999999999,0.0017399999999999998,1200.0,0.0008333333333333334
80.0,0.2,0.0,417.59999999999997,960.0,0.0,960.0,960.0,0.9797958971132712,6.41274915080932,0.00408248290463863,0.0,0.0,1200.0,0.0008333333333333334
80.0,0.2,0.0001,417.59999999999997,960.0,0.0,960.0,960.0,0.9797958971132712,6.41274915080932,0.00408248290463863,0.08352,8.7e-05,1200.0,0.0008333333333333334
80.0,0.2,0.001,417.59999999999997,960.0,0.0,960.0,960.0,0.9797958971132712,6.41274915080932,0.00408248290463863,0.8351999999999999,0.0008699999999999999,1200.0,0.0008333333333333334
160.0,0.02,0.0,1670.3999999999999,384.0,0.0,384.0,384.0,0.6196773353931867,10.13944668993403,0.006454972243679028,0.0,0.0,2400.0,0.0004166666666666667
160.0,0.02,0.0001,1670.3999999999999,384.0,0.0,384.0,384.0,0.6196773353931867,10.13944668993403,0.006454972243679028,0.33408,0.00087,2400.0,0.0004166666666666667
160.0,0.02,0.001,1670.3999999999999,384.0,0.0,384.0,384.0,0.6196773353931867,10.13944668993403,0.006454972243679028,3.3407999999999998,0.0087,2400.0,0.0004166666666666667
160.0,0.05,0.0,1670.3999999999999,960.0,0.0,960.0,960.0,0.9797958971132712,6.41274915080932,0.00408248290463863,0.0,0.0,2400.0,0.0004166666666666667
160.0,0.05,0.0001,1670.3999999999999,960.0,0.0,960.0,960.0,0.9797958971132712,6.41274915080932,0.00408248290463863,0.33408,0.000348,2400.0,0.0004166666666666667
160.0,0.05,0.001,1670.3999999999999,960.0,0.0,960.0,960.0,0.9797958971132712,6.41274915080932,0.00408248290463863,3.3407999999999998,0.0034799999999999996,2400.0,0.0004166666666666667
160.0,0.1,0.0,1670.3999999999999,1920.0,0.0,1920.0,1920.0,1.3856406460551018,4.534498410585544,0.002886751345948129,0.0,0.0,2400.0,0.0004166666666666667
160.0,0.1,0.0001,1670.3999999999999,1920.0,0.0,1920.0,1920.0,1.3856406460551018,4.534498410585544,0.002886751345948129,0.33408,0.000174,2400.0,0.0004166666666666667
160.0,0.1,0.001,1670.3999999999999,1920.0,0.0,1920.0,1920.0,1.3856406460551018,4.534498410585544,0.002886751345948129,3.3407999999999998,0.0017399999999999998,2400.0,0.0004166666666666667
160.0,0.2,0.0,1670.3999999999999,3840.0,0.0,3840.0,3840.0,1.9595917942265424,3.20637457540466,0.002041241452319315,0.0,0.0,2400.0,0.0004166666666666667
160.0,0.2,0.0001,1670.3999999999999,3840.0,0.0,3840.0,3840.0,1.9595917942265424,3.20637457540466,0.002041241452319315,0.33408,8.7e-05,2400.0,0.0004166666666666667
160.0,0.2,0.001,1670.3999999999999,3840.0,0.0,3840.0,3840.0,1.9595917942265424,3.20637457540466,0.002041241452319315,3.3407999999999998,0.0008699999999999999,2400.0,0.0004166666666666667
320.0,0.02,0.0,6681.599999999999,1536.0,0.0,1536.0,1536.0,1.2393546707863734,5.069723344967015,0.003227486121839514,0.0,0.0,4800.0,0.00020833333333333335
320.0,0.02,0.0001,6681.599999999999,1536.0,0.0,1536.0,1536.0,1.2393546707863734,5.069723344967015,0.003227486121839514,1.33632,0.00087,4800.0,0.00020833333333333335
320.0,0.02,0.001,6681.599999999999,1536.0,0.0,1536.0,1536.0,1.2393546707863734,5.069723344967015,0.003227486121839514,13.363199999999999,0.0087,4800.0,0.00020833333333333335
320.0,0.05,0.0,6681.599999999999,3840.0,0.0,3840.0,3840.0,1.9595917942265424,3.20637457540466,0.002041241452319315,0.0,0.0,4800.0,0.00020833333333333335
320.0,0.05,0.0001,6681.599999999999,3840.0,0.0,3840.0,3840.0,1.9595917942265424,3.20637457540466,0.002041241452319315,1.33632,0.000348,4800.0,0.00020833333333333335
320.0,0.05,0.001,6681.599999999999,3840.0,0.0,3840.0,3840.0,1.9595917942265424,3.20637457540466,0.002041241452319315,13.363199999999999,0.0034799999999999996,4800.0,0.00020833333333333335
320.0,0.1,0.0,6681.599999999999,7680.0,0.0,7680.0,7680.0,2.7712812921102037,2.267249205292772,0.0014433756729740645,0.0,0.0,4800.0,0.00020833333333333335
320.0,0.1,0.0001,6681.599999999999,7680.0,0.0,7680.0,7680.0,2.7712812921102037,2.267249205292772,0.0014433756729740645,1.33632,0.000174,4800.0,0.00020833333333333335
320.0,0.1,0.001,6681.599999999999,7680.0,0.0,7680.0,7680.0,2.7712812921102037,2.267249205292772,0.0014433756729740645,13.363199999999999,0.0017399999999999998,4800.0,0.00020833333333333335
320.0,0.2,0.0,6681.599999999999,15360.0,0.0,15360.0,15360.0,3.919183588453085,1.60318728770233,0.0010206207261596574,0.0,0.0,4800.0,0.00020833333333333335
320.0,0.2,0.0001,6681.599999999999,15360.0,0.0,15360.0,15360.0,3.919183588453085,1.60318728770233,0.0010206207261596574,1.33632,8.7e-05,4800.0,0.00020833333333333335
320.0,0.2,0.001,6681.599999999999,15360.0,0.0,15360.0,15360.0,3.919183588453085,1.60318728770233,0.0010206207261596574,13.363199999999999,0.0008699999999999999,4800.0,0.00020833333333333335
520.0,0.02,0.0,17643.6,4056.0,0.0,4056.0,4056.0,2.0139513400278566,3.1198297507489325,0.0019861453057473935,0.0,0.0,7800.0,0.0001282051282051282
520.0,0.02,0.0001,17643.6,4056.0,0.0,4056.0,4056.0,2.0139513400278566,3.1198297507489325,0.0019861453057473935,3.52872,0.00087,7800.0,0.0001282051282051282
520.0,0.02,0.001,17643.6,4056.0,0.0,4056.0,4056.0,2.0139513400278566,3.1198297507489325,0.0019861453057473935,35.2872,0.0087,7800.0,0.0001282051282051282
520.0,0.05,0.0,17643.6,10140.0,0.0,10140.0,10140.0,3.184336665618132,1.9731535848644062,0.0012561485860426555,0.0,0.0,7800.0,0.0001282051282051282
520.0,0.05,0.0001,17643.6,10140.0,0.0,10140.0,10140.0,3.184336665618132,1.9731535848644062,0.0012561485860426555,3.52872,0.000348,7800.0,0.0001282051282051282
520.0,0.05,0.001,17643.6,10140.0,0.0,10140.0,10140.0,3.184336665618132,1.9731535848644062,0.0012561485860426555,35.2872,0.00348,7800.0,0.0001282051282051282
520.0,0.1,0.0,17643.6,20280.0,0.0,20280.0,20280.0,4.503332099679081,1.3952302801801675,0.0008882311833686551,0.0,0.0,7800.0,0.0001282051282051282
520.0,0.1,0.0001,17643.6,20280.0,0.0,20280.0,20280.0,4.503332099679081,1.3952302801801675,0.0008882311833686551,3.52872,0.000174,7800.0,0.0001282051282051282
520.0,0.1,0.001,17643.6,20280.0,0.0,20280.0,20280.0,4.503332099679081,1.3952302801801675,0.0008882311833686551,35.2872,0.00174,7800.0,0.0001282051282051282
520.0,0.2,0.0,17643.6,40560.0,0.0,40560.0,40560.0,6.368673331236264,0.9865767924322031,0.0006280742930213277,0.0,0.0,7800.0,0.0001282051282051282
520.0,0.2,0.0001,17643.6,40560.0,0.0,40560.0,40560.0,6.368673331236264,0.9865767924322031,0.0006280742930213277,3.52872,8.7e-05,7800.0,0.0001282051282051282
520.0,0.2,0.001,17643.6,40560.0,0.0,40560.0,40560.0,6.368673331236264,0.9865767924322031,0.0006280742930213277,35.2872,0.00087,7800.0,0.0001282051282051282
